state,operator,data_benefit,validity,cost,type,bitsperday,costperbit,dataperdayperrupee
Maharashtra/Goa,Airtel,1250,28,199,Internet,44.64285714,0.1592,0.224335966
Kolkata,Airtel,1250,28,198,Internet,44.64285714,0.1584,0.225468975
Mumbai,Airtel,1250,28,198,Internet,44.64285714,0.1584,0.225468975
Punjab,Airtel,1250,28,198,Internet,44.64285714,0.1584,0.225468975
West Bengal,Airtel,1250,28,198,Internet,44.64285714,0.1584,0.225468975
Madhya Pradesh/Chhattisgarh,Airtel,1250,28,197,Internet,44.64285714,0.1576,0.226613488
Bihar/Jharkhand,Idea,200,30,29,WA,6.666666667,0.145,0.229885057
Andhra Pradesh,Airtel,750,21,155,Internet,35.71428571,0.206666667,0.230414747
Himachal Pradesh,Airtel,750,21,155,Internet,35.71428571,0.206666667,0.230414747
Karnataka,Airtel,750,21,155,Internet,35.71428571,0.206666667,0.230414747
Orissa,Airtel,1000,28,155,Internet,35.71428571,0.155,0.230414747
Orissa,Airtel,1000,28,155,Internet,35.71428571,0.155,0.230414747
Punjab,Airtel,750,21,155,Internet,35.71428571,0.206666667,0.230414747
UP East,Airtel,525,18,126,Internet,29.16666667,0.24,0.231481481
Assam,Airtel,1000,28,154,Internet,35.71428571,0.154,0.231910946
Jammu and Kashmir,Airtel,1000,28,154,Internet,35.71428571,0.154,0.231910946
North East,Airtel,1000,28,154,Internet,35.71428571,0.154,0.231910946
North East,Airtel,1000,28,154,Internet,35.71428571,0.154,0.231910946
UP East,Airtel,535,18,128,Internet,29.72222222,0.239252336,0.232204861
Bihar/Jharkhand,Idea,525,18,125,Internet,29.16666667,0.238095238,0.233333333
Bihar/Jharkhand,Airtel,525,18,125,Internet,29.16666667,0.238095238,0.233333333
UP West/Uttarakhand,Airtel,750,21,153,Internet,35.71428571,0.204,0.233426704
Delhi NCR,Airtel,775,21,156,Internet,36.9047619,0.201290323,0.236568987
Kerala,Idea,620,21,124,Internet,29.52380952,0.2,0.238095238
Chennai,Airtel,1000,28,149,Internet,35.71428571,0.149,0.239693193
Gujarat,Airtel,750,21,149,Internet,35.71428571,0.198666667,0.239693193
Kerala,Airtel,750,21,149,Internet,35.71428571,0.198666667,0.239693193
Madhya Pradesh/Chhattisgarh,Airtel,750,21,149,Internet,35.71428571,0.198666667,0.239693193
Tamil Nadu,Airtel,1000,28,149,Internet,35.71428571,0.149,0.239693193
Tamil Nadu,Airtel,1000,28,149,Internet,35.71428571,0.149,0.239693193
West Bengal,Airtel,750,21,149,Internet,35.71428571,0.198666667,0.239693193
Haryana,Airtel,750,21,147,Internet,35.71428571,0.196,0.242954325
Orissa,Airtel,500,21,98,Internet,23.80952381,0.196,0.242954325
Orissa,Airtel,500,21,98,Internet,23.80952381,0.196,0.242954325
Karnataka,Airtel,550,18,125,Internet,30.55555556,0.227272727,0.244444444
Chennai,Airtel,650,21,126,Internet,30.95238095,0.193846154,0.245653817
Tamil Nadu,Airtel,650,21,126,Internet,30.95238095,0.193846154,0.245653817
Assam,Idea,500,20,98,Internet,25,0.196,0.255102041
Assam,Airtel,500,20,98,Internet,25,0.196,0.255102041
North East,Idea,500,20,98,Internet,25,0.196,0.255102041
North East,Airtel,500,20,98,Internet,25,0.196,0.255102041
Orissa,Idea,500,20,98,Internet,25,0.196,0.255102041
Karnataka,Idea,300,30,39,FB,10,0.13,0.256410256
Jammu and Kashmir,Airtel,500,20,97,Internet,25,0.194,0.257731959
Delhi NCR,Reliance,1000,30,127,Internet,33.33333333,0.127,0.262467192
Haryana,Reliance,1000,30,127,Internet,33.33333333,0.127,0.262467192
Orissa,Reliance,1000,30,127,"Unlimited FB, TW, WA",33.33333333,0.127,0.262467192
West Bengal,Reliance,1000,30,126,"Unlimited FB, TW, WA",33.33333333,0.126,0.264550265
Kerala,Reliance,1000,30,125,"Unlimited FB, TW, WA",33.33333333,0.125,0.266666667
Tamil Nadu,Idea,1000,30,125,Internet,33.33333333,0.125,0.266666667
UP East,Idea,1000,30,125,Internet,33.33333333,0.125,0.266666667
Punjab,Airtel,250,10,91,Internet,25,0.364,0.274725275
Gujarat,Idea,500,15,121,Internet,33.33333333,0.242,0.275482094
Kerala,Airtel,625,18,126,Internet,34.72222222,0.2016,0.275573192
Maharashtra/Goa,Airtel,625,18,125,Internet,34.72222222,0.2,0.277777778
Madhya Pradesh/Chhattisgarh,Airtel,625,18,125,Internet,34.72222222,0.2,0.277777778
Rajasthan,Airtel,625,18,125,Internet,34.72222222,0.2,0.277777778
Kolkata,Airtel,625,18,124,Internet,34.72222222,0.1984,0.280017921
West Bengal,Airtel,625,18,124,Internet,34.72222222,0.1984,0.280017921
Jammu and Kashmir,Idea,1000,28,125,Internet,35.71428571,0.125,0.285714286
Himachal Pradesh,Reliance,1000,28,124,"Unlimited FB, TW, WA",35.71428571,0.124,0.288018433
Punjab,Reliance,1000,28,124,Internet,35.71428571,0.124,0.288018433
Gujarat,Airtel,650,18,124,Internet,36.11111111,0.190769231,0.291218638
Kerala,Airtel,150,15,33,FB,10,0.22,0.303030303
Bihar/Jharkhand,Reliance,650,21,99,"Unlimited FB, TW",30.95238095,0.152307692,0.312650313
Chennai,Reliance,650,21,99,Internet,30.95238095,0.152307692,0.312650313
Gujarat,Reliance,650,21,99,Internet,30.95238095,0.152307692,0.312650313
Kolkata,Reliance,650,21,99,"Unlimited FB, TW",30.95238095,0.152307692,0.312650313
North East,Reliance,650,21,99,Internet,30.95238095,0.152307692,0.312650313
West Bengal,Reliance,650,21,99,"Unlimited FB, TW",30.95238095,0.152307692,0.312650313
Kerala,Reliance,650,21,98,Internet,30.95238095,0.150769231,0.315840622
Kolkata,Idea,200,15,42,FB,13.33333333,0.21,0.317460317
West Bengal,Idea,200,15,42,FB,13.33333333,0.21,0.317460317
Kerala,Airtel,450,14,98,Internet,32.14285714,0.217777778,0.327988338
Andhra Pradesh,Airtel,525,15,105,Internet,35,0.2,0.333333333
UP West/Uttarakhand,Airtel,625,15,125,Internet,41.66666667,0.2,0.333333333
Jammu and Kashmir,Airtel,150,14,31,FB,10.71428571,0.206666667,0.34562212
Maharashtra/Goa,Idea,475,14,98,Internet,33.92857143,0.206315789,0.346209913
Jammu and Kashmir,Reliance,750,21,101,"Unlimited FB, TW, WA",35.71428571,0.134666667,0.353606789
Delhi NCR,Airtel,625,14,125,Internet,44.64285714,0.2,0.357142857
Himachal Pradesh,Idea,500,14,99,Internet,35.71428571,0.198,0.360750361
Punjab,Reliance,750,21,99,"Unlimited FB, TW",35.71428571,0.132,0.360750361
Punjab,Idea,500,14,99,Internet,35.71428571,0.198,0.360750361
Bihar/Jharkhand,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Bihar/Jharkhand,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Chennai,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Delhi NCR,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Delhi NCR,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Gujarat,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Haryana,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Haryana,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Himachal Pradesh,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Karnataka,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Karnataka,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Kolkata,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Kolkata,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Kolkata,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Maharashtra/Goa,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Maharashtra/Goa,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Madhya Pradesh/Chhattisgarh,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Madhya Pradesh/Chhattisgarh,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Madhya Pradesh/Chhattisgarh,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Mumbai,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
Mumbai,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Mumbai,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
North East,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Punjab,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Punjab,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Rajasthan,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Rajasthan,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Tamil Nadu,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Tamil Nadu,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
UP East,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
UP East,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
UP West/Uttarakhand,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
UP West/Uttarakhand,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
UP West/Uttarakhand,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
West Bengal,Idea,500,14,98,Internet,35.71428571,0.196,0.364431487
West Bengal,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
West Bengal,Airtel,500,14,98,Internet,35.71428571,0.196,0.364431487
Mumbai,Idea,200,15,36,FB,13.33333333,0.18,0.37037037
Andhra Pradesh,Idea,500,14,96,Internet,35.71428571,0.192,0.37202381
Assam,Reliance,1000,21,127,"Unlimited FB, TW",47.61904762,0.127,0.374953131
Mumbai,Reliance,1000,21,127,"Unlimited FB, TW, WA",47.61904762,0.127,0.374953131
North East,Reliance,1000,21,127,"Unlimited FB, TW",47.61904762,0.127,0.374953131
Rajasthan,Idea,500,14,95,Internet,35.71428571,0.19,0.37593985
Bihar/Jharkhand,Reliance,1000,21,125,"Unlimited FB, TW, WA",47.61904762,0.125,0.380952381
Jammu and Kashmir,Reliance,1000,21,125,"Unlimited FB, TW, WA",47.61904762,0.125,0.380952381
Kolkata,Reliance,1000,21,125,"Unlimited FB, TW, WA",47.61904762,0.125,0.380952381
Mumbai,Idea,175,15,28,FB,11.66666667,0.16,0.416666667
UP West/Uttarakhand,Airtel,150,15,24,FB,10,0.16,0.416666667
Maharashtra/Goa,Idea,200,15,31,FB,13.33333333,0.155,0.430107527
UP East,Idea,200,15,31,FB,13.33333333,0.155,0.430107527
Orissa,Idea,300,12,58,Internet,25,0.193333333,0.431034483
Kerala,Airtel,375,11,76,Internet,34.09090909,0.202666667,0.448564593
Jammu and Kashmir,Idea,375,14,59,Internet,26.78571429,0.157333333,0.453995157
Kolkata,Airtel,150,15,22,FB,10,0.146666667,0.454545455
UP East,Idea,375,11,75,Internet,34.09090909,0.2,0.454545455
UP East,Airtel,150,15,22,Internet,10,0.146666667,0.454545455
UP East,Reliance,350,15,51,"Unlimited FB, TW",23.33333333,0.145714286,0.45751634
UP West/Uttarakhand,Reliance,350,15,51,Internet,23.33333333,0.145714286,0.45751634
Bihar/Jharkhand,Idea,200,15,29,FB,13.33333333,0.145,0.459770115
Bihar/Jharkhand,Idea,350,10,76,Internet,35,0.217142857,0.460526316
Andhra Pradesh,Idea,375,11,74,Internet,34.09090909,0.197333333,0.460687961
Madhya Pradesh/Chhattisgarh,Airtel,375,11,74,Internet,34.09090909,0.197333333,0.460687961
Tamil Nadu,Idea,400,14,62,Internet,28.57142857,0.155,0.460829493
UP East,Idea,400,14,62,Internet,28.57142857,0.155,0.460829493
Haryana,Idea,250,15,36,FB,16.66666667,0.144,0.462962963
Gujarat,Reliance,1500,25,127,Internet,60,0.084666667,0.472440945
UP West/Uttarakhand,Airtel,400,11,76,Internet,36.36363636,0.19,0.4784689
Assam,Airtel,350,10,73,Internet,35,0.208571429,0.479452055
Delhi NCR,Airtel,350,10,73,Internet,35,0.208571429,0.479452055
North East,Airtel,350,10,73,Internet,35,0.208571429,0.479452055
Haryana,Reliance,1000,21,99,"Unlimited FB, TW",47.61904762,0.099,0.481000481
Mumbai,Reliance,1000,21,99,Internet,47.61904762,0.099,0.481000481
UP West/Uttarakhand,Reliance,1000,21,99,"Unlimited FB, TW",47.61904762,0.099,0.481000481
Kolkata,Airtel,325,10,67,Internet,32.5,0.206153846,0.485074627
Maharashtra/Goa,Reliance,1000,21,98,"Unlimited FB, TW",47.61904762,0.098,0.485908649
Haryana,Airtel,350,10,72,Internet,35,0.205714286,0.486111111
Himachal Pradesh,Airtel,350,10,72,Internet,35,0.205714286,0.486111111
Punjab,Airtel,350,10,72,Internet,35,0.205714286,0.486111111
Orissa,Reliance,1000,21,97,"Unlimited FB, WA",47.61904762,0.097,0.490918017
Andhra Pradesh,Airtel,375,10,75,Internet,37.5,0.2,0.5
Delhi NCR,Idea,375,10,75,Internet,37.5,0.2,0.5
Madhya Pradesh/Chhattisgarh,Idea,330,10,66,Internet,33,0.2,0.5
Maharashtra/Goa,Airtel,400,10,79,Internet,40,0.1975,0.506329114
UP West/Uttarakhand,Idea,350,10,69,Internet,35,0.197142857,0.507246377
Kerala,Reliance,450,14,63,Internet,32.14285714,0.14,0.510204082
Orissa,Idea,250,10,49,Internet,25,0.196,0.510204082
UP East,Airtel,500,10,97,Internet,50,0.194,0.515463918
Haryana,Idea,200,15,25,FB,13.33333333,0.125,0.533333333
Kolkata,Airtel,300,9,61,Internet,33.33333333,0.203333333,0.546448087
West Bengal,Airtel,300,9,61,Internet,33.33333333,0.203333333,0.546448087
Gujarat,Idea,200,7,52,Internet,28.57142857,0.26,0.549450549
Bihar/Jharkhand,Airtel,320,9,64,Internet,35.55555556,0.2,0.555555556
Assam,Idea,240,9,47,Internet,26.66666667,0.195833333,0.567375887
North East,Idea,240,9,47,Internet,26.66666667,0.195833333,0.567375887
Orissa,Idea,240,9,47,Internet,26.66666667,0.195833333,0.567375887
Jammu and Kashmir,Reliance,300,10,51,"Unlimited FB, TW",30,0.17,0.588235294
Maharashtra/Goa,Idea,15,5,5,FB,3,0.333333333,0.6
UP West/Uttarakhand,Idea,15,5,5,FB,3,0.333333333,0.6
UP East,Airtel,275,8,57,Internet,34.375,0.207272727,0.603070175
Mumbai,Airtel,275,8,56,Internet,34.375,0.203636364,0.613839286
Himachal Pradesh,Idea,290,8,58,Internet,36.25,0.2,0.625
Punjab,Idea,295,8,59,Internet,36.875,0.2,0.625
Rajasthan,Airtel,280,8,56,Internet,35,0.2,0.625
Delhi NCR,Idea,200,15,21,FB,13.33333333,0.105,0.634920635
Rajasthan,Idea,200,15,21,FB,13.33333333,0.105,0.634920635
Gujarat,Idea,300,8,59,Internet,37.5,0.196666667,0.63559322
Gujarat,Airtel,300,8,59,Internet,37.5,0.196666667,0.63559322
Andhra Pradesh,Idea,275,8,54,Internet,34.375,0.196363636,0.636574074
Andhra Pradesh,Reliance,300,10,47,Internet,30,0.156666667,0.638297872
Karnataka,Idea,300,8,58,Internet,37.5,0.193333333,0.646551724
Karnataka,Airtel,300,8,58,Internet,37.5,0.193333333,0.646551724
Madhya Pradesh/Chhattisgarh,Airtel,300,8,58,Internet,37.5,0.193333333,0.646551724
West Bengal,Idea,300,8,58,Internet,37.5,0.193333333,0.646551724
UP West/Uttarakhand,Airtel,300,8,57,Internet,37.5,0.19,0.657894737
Haryana,Idea,100,10,15,FB,10,0.15,0.666666667
Tamil Nadu,Idea,300,10,44,Internet,30,0.146666667,0.681818182
UP West/Uttarakhand,Idea,150,10,22,FB,15,0.146666667,0.681818182
UP East,Airtel,350,7,73,Internet,50,0.208571429,0.684931507
Kolkata,Airtel,250,7,52,Internet,35.71428571,0.208,0.686813187
Mumbai,Idea,250,7,52,Internet,35.71428571,0.208,0.686813187
Rajasthan,Idea,250,7,52,Internet,35.71428571,0.208,0.686813187
West Bengal,Airtel,250,7,52,Internet,35.71428571,0.208,0.686813187
Jammu and Kashmir,Airtel,200,7,41,WA,28.57142857,0.205,0.696864111
Maharashtra/Goa,Airtel,225,7,46,Internet,32.14285714,0.204444444,0.698757764
Mumbai,Airtel,225,7,46,Internet,32.14285714,0.204444444,0.698757764
Punjab,Idea,225,7,46,Internet,32.14285714,0.204444444,0.698757764
Bihar/Jharkhand,Idea,250,7,51,Internet,35.71428571,0.204,0.700280112
Kolkata,Idea,235,7,47,Internet,33.57142857,0.2,0.714285714
Maharashtra/Goa,Idea,260,7,52,Internet,37.14285714,0.2,0.714285714
Madhya Pradesh/Chhattisgarh,Idea,260,7,52,Internet,37.14285714,0.2,0.714285714
Rajasthan,Idea,235,7,47,Internet,33.57142857,0.2,0.714285714
UP East,Idea,255,7,51,Internet,36.42857143,0.2,0.714285714
UP East,Airtel,230,7,46,Internet,32.85714286,0.2,0.714285714
UP West/Uttarakhand,Idea,240,7,48,Internet,34.28571429,0.2,0.714285714
West Bengal,Idea,235,7,47,Internet,33.57142857,0.2,0.714285714
Rajasthan,Reliance,1500,21,99,"Unlimited FB, TW",71.42857143,0.066,0.721500722
Chennai,Airtel,225,7,44,Internet,32.14285714,0.195555556,0.730519481
Tamil Nadu,Airtel,225,7,44,Internet,32.14285714,0.195555556,0.730519481
Jammu and Kashmir,Reliance,150,7,29,Internet,21.42857143,0.193333333,0.738916256
Andhra Pradesh,Airtel,250,7,48,Internet,35.71428571,0.192,0.744047619
Assam,Airtel,250,7,48,Internet,35.71428571,0.192,0.744047619
North East,Airtel,250,7,48,Internet,35.71428571,0.192,0.744047619
Delhi NCR,Idea,275,7,52,Internet,39.28571429,0.189090909,0.755494505
Chennai,Reliance,1000,21,63,Internet,47.61904762,0.063,0.755857899
Tamil Nadu,Reliance,3000,30,125,"Unlimited FB, TW, WA",100,0.041666667,0.8
Haryana,Reliance,3000,30,124,"Unlimited FB, TW, WA",100,0.041333333,0.806451613
UP East,Reliance,3000,30,124,"Unlimited FB, TW, WA",100,0.041333333,0.806451613
Kerala,Airtel,225,6,45,Internet,37.5,0.2,0.833333333
Himachal Pradesh,Reliance,600,12,59,"Unlimited FB, TW",50,0.098333333,0.847457627
Punjab,Reliance,600,12,59,"Unlimited FB, TW",50,0.098333333,0.847457627
Madhya Pradesh/Chhattisgarh,Idea,200,6,39,Internet,33.33333333,0.195,0.854700855
Assam,Idea,150,6,29,Internet,25,0.193333333,0.862068966
Mumbai,Reliance,150,6,29,Internet,25,0.193333333,0.862068966
North East,Idea,150,6,29,Internet,25,0.193333333,0.862068966
Orissa,Idea,150,6,29,Internet,25,0.193333333,0.862068966
UP West/Uttarakhand,Reliance,3000,28,124,"Unlimited FB, TW, WA",107.1428571,0.041333333,0.864053,
Madhya Pradesh/Chhattisgarh,Airtel,200,6,38,Internet,33.33333333,0.19,0.877192982
Jammu and Kashmir,Reliance,750,14,58,"Unlimited FB, TW",53.57142857,0.077333333,0.92364532
Gujarat,Reliance,150,6,27,Internet,25,0.18,0.925925926
Andhra Pradesh,Reliance,500,10,51,Internet,50,0.102,0.980392157
Chennai,Reliance,500,10,51,Internet,50,0.102,0.980392157
Haryana,Reliance,500,10,51,"Unlimited FB, TW",50,0.102,0.980392157
Himachal Pradesh,Reliance,500,10,51,"Unlimited FB, TW",50,0.102,0.980392157
Kerala,Reliance,500,10,51,Internet,50,0.102,0.980392157
Punjab,Reliance,500,10,51,"Unlimited FB, TW",50,0.102,0.980392157
Tamil Nadu,Reliance,500,10,51,Internet,50,0.102,0.980392157
Chennai,Reliance,200,7,29,Internet,28.57142857,0.145,0.985221675
Kerala,Reliance,200,7,29,Internet,28.57142857,0.145,0.985221675
Assam,Airtel,125,5,25,Internet,25,0.2,1
Gujarat,Airtel,175,5,35,Internet,35,0.2,1
Haryana,Idea,125,5,25,Internet,25,0.2,1
Haryana,Airtel,185,5,37,Internet,37,0.2,1
Himachal Pradesh,Airtel,175,5,35,Internet,35,0.2,1
Madhya Pradesh/Chhattisgarh,Airtel,175,5,35,Internet,35,0.2,1
North East,Airtel,125,5,25,Internet,25,0.2,1
Orissa,Airtel,125,5,25,Internet,25,0.2,1
Punjab,Idea,185,5,37,Internet,37,0.2,1
Punjab,Airtel,185,5,37,Internet,37,0.2,1
Rajasthan,Airtel,160,5,32,Internet,32,0.2,1
Tamil Nadu,Airtel,125,5,25,Internet,25,0.2,1
UP West/Uttarakhand,Airtel,185,5,37,Internet,37,0.2,1
Assam,Reliance,500,10,49,"Unlimited FB, TW",50,0.098,1.020408163
North East,Reliance,500,10,49,"Unlimited FB, TW",50,0.098,1.020408163
Andhra Pradesh,Reliance,1000,15,65,"Unlimited FB, TW, WA",66.66666667,0.065,1.025641026
Haryana,Reliance,1000,15,65,"Unlimited FB, TW",66.66666667,0.065,1.025641026
UP East,Reliance,1000,15,65,"Unlimited FB, TW",66.66666667,0.065,1.025641026
UP West/Uttarakhand,Reliance,1000,15,65,"Unlimited FB, TW",66.66666667,0.065,1.025641026
Orissa,Idea,140,5,27,Internet,28,0.192857143,1.037037037
Maharashtra/Goa,Reliance,1000,14,65,"Unlimited FB, TW",71.42857143,0.065,1.098901099
Gujarat,Reliance,1000,14,64,Internet,71.42857143,0.064,1.116071429
Bihar/Jharkhand,Reliance,600,10,52,"Unlimited FB, TW",60,0.086666667,1.153846154
